dong_xe,gia,hop_so,kieu_dang,km_da_di,mau_xe,nhien_lieu,so_cho_ngoi,so_cua,tinh_trang,xuat_xu
Sedan,Xe	Hyundai Accent	1.4 AT	2020	- 495 Triệu,Số tự động,,"28,000 Km",Đỏ,Xăng	1.4 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Lexus ES	250	2020	- 2 Tỷ 560 Triệu,Số tự động,,"13,000 Km",Trắng,Xăng	2.5 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Toyota Camry	2.5Q	2019	- 1 Tỷ 130 Triệu,Số tự động,,"28,000 Km",Nâu,Xăng	2.5 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mazda 3	S 1.6 AT	2014	- 409 Triệu,Số tự động,,"68,101 Km",Vàng,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Toyota Vios	1.5E	2017	- 319 Triệu,Số tay,,"71,000 Km",Cát,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	VinFast Fadil	Tiêu chuẩn 1.4 AT	2022	- 385 Triệu,Số tự động,,"1,000 Km",Trắng,Xăng	1.4 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Hyundai i30	CW 1.6 AT	2011	- 365 Triệu,Số tự động,,"78,000 Km",Trắng,Xăng	1.6 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Toyota Fortuner	2.4G 4x2 AT	2020	- 1 Tỷ 39 Triệu,Số tự động,,"34,268 Km",Trắng,Dầu	2.4 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Kia Sorento	Signature 2.5 AT AWD	2021	- 1 Tỷ 229 Triệu,Số tự động,,"8,000 Km",Đỏ,Xăng	2.5 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Van/Minivan,Xe	Toyota Sienna	Limited 3.5	2018	- 3 Tỷ 500 Triệu,Số tự động,,"45,000 Km",Trắng,Xăng	3.5 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Mercedes Benz GLC	300 4Matic	2021	- 2 Tỷ 499 Triệu,Số tự động,,0 Km,Xám,Xăng	2.0 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Toyota Corolla altis	1.8V	2022	- 765 Triệu,Số tự động,,0 Km,Đen,Xăng	1.8 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
Bán tải / Pickup,Xe	Mazda BT50	2.2L 4x2 AT	2015	- 465 Triệu,Số tự động,,0 Km,Cát,Dầu	2.2 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Lexus RX	300	2020	- 3 Tỷ 299 Triệu,Số tự động,,"9,000 Km",Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Truck,Xe	Isuzu NMR	1T9 thùng Bạt 4m5	2022	- 680 Triệu,Số tay,,0 Km,Trắng,Dầu,3 chỗ,2 cửa,Xe mới,Nhập khẩu
SUV,Xe	Toyota Fortuner	2.7V 4x2 AT	2015	- 585 Triệu,Số tự động,,"90,000 Km",Xám,Xăng	2.7 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Toyota Vios	1.5G	2018	- 465 Triệu,Số tự động,,"72,000 Km",Trắng,Xăng,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz C class	C200 Exclusive	2021	- 1 Tỷ 659 Triệu,Số tự động,,"6,000 Km",Xanh,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz E class	E200	2019	- 1 Tỷ 768 Triệu,Số tự động,,"30,000 Km",Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Ford Everest	Titanium 2.0L 4x4 AT	2021	- 1 Tỷ 420 Triệu,Số tự động,,"8,000 Km",Đen,Dầu	2.0 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mercedes Benz C class	C200 Exclusive	2018	- 1 Tỷ 360 Triệu,Số tự động,,"28,000 Km",Đen,Hybrid	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Mazda CX5	Deluxe 2.0 AT	2022	- 832 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Toyota Prado	TXL 2.7L	2014	- 1 Tỷ 410 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.7 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	BMW X1	sDrive18i	2021	- 1 Tỷ 798 Triệu,Số tự động,,100 Km,Đen,Xăng	1.5 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Mazda CX5	2.0 Deluxe	2022	- 832 Triệu,Số tự động,,0 Km,Xanh,Xăng	2.0 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Ford Everest	Titanium 2.0L 4x4 AT	2022	- 1 Tỷ 380 Triệu,Số tự động,,0 Km,Đen,Dầu	2.0 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	LandRover Range Rover	SV Autobiography LWB 5.0	2016	- 7 Tỷ 590 Triệu,Số tự động,,"50,000 Km",Trắng,Xăng	5.0 L,4 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mercedes Benz C class	C200 Elegance	2008	- 328 Triệu,Số tự động,,"145,000 Km",Đen,Xăng	1.8 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Audi A6	1.8 TFSI	2017	- 1 Tỷ 480 Triệu,Số tự động,,"35,000 Km",Trắng,Xăng	1.8 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mercedes Benz S class	S400L	2017	- 2 Tỷ 700 Triệu,Số tự động,,"40,000 Km",Trắng,Xăng	3.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Mitsubishi Pajero Sport	2.4D 4x2 AT	2021	- 1 Tỷ 110 Triệu,Số tự động,,0 Km,Trắng,Dầu	2.4 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	Mercedes Benz GLC	200 4Matic	2020	- 1 Tỷ 980 Triệu,Số tự động,,"18,000 Km",Đen,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Mazda CX5	2.0 AT	2018	- 765 Triệu,Số tự động,,"38,000 Km",Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Ford Everest	Titanium 2.0L 4x4 AT	2022	- 1 Tỷ 412 Triệu,Số tự động,,0 Km,Xanh,Dầu	2.0 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	Ford Everest	Titanium 2.0L 4x2 AT	2022	- 1 Tỷ 80 Triệu,Số tự động,,0 Km,Xanh,Dầu	2.0 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
Bán tải / Pickup,Xe	Ford Ranger	Wildtrak 3.2L 4x4 AT	2015	- 640 Triệu,Số tự động,,"98,372 Km",Trắng,Dầu	3.2 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
