dong_xe,gia,hop_so,kieu_dang,km_da_di,mau_xe,nhien_lieu,so_cho_ngoi,so_cua,tinh_trang,xuat_xu
Sedan,Xe	VinFast Lux A 2.0	Tiêu chuẩn	2022	- 671 Triệu,Số tự động,,0 Km,Xanh,Xăng	2.0 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	LandRover Range Rover	Autobiography 5.0	2010	- 1 Tỷ 250 Triệu,Số tự động,,"80,000 Km",Đen,Xăng	5.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Hatchback,Xe	VinFast Fadil	Cao cấp 1.4 AT	2022	- 409 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.4 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Crossover,Xe	Hyundai Tucson	2.0 AT Tiêu chuẩn	2022	- 825 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	BMW 5 Series	520i	2013	- 750 Triệu,Số tự động,,"61,200 Km",Trắng,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mazda 6	2.5L Premium	2018	- 765 Triệu,Số tự động,,"49,000 Km",Trắng,Xăng	2.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	LandRover Range Rover Sport	HSE	2013	- 2 Tỷ 450 Triệu,Số tự động,,"45,000 Km",Cát,Xăng	3.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mitsubishi Attrage	Premium 1.2 CVT	2021	- 485 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.2 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
Hatchback,Xe	Mini One	1.5 AT	2022	- 1 Tỷ 719 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.5 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
Crossover,Xe	VinFast VF e34	AT	2022	- 580 Triệu,Số tự động,,0 Km,Đỏ,Điện	0.1 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Mazda 3	1.5 AT	2019	- 599 Triệu,Số tự động,,"30,000 Km",Đỏ,Xăng,0 chỗ,0 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Hyundai i10	Grand 1.2 AT	2018	- 375 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.25 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	MG 5	Luxury 1.5 AT	2022	- 579 Triệu,Số tự động,,0 Km,Vàng,Xăng	1.5 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
Hatchback,Xe	Honda Brio	RS	2021	- 450 Triệu,Số tự động,,0 Km,Cam,Xăng	1.2 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
Crossover,Xe	Toyota Innova	2.0E	2018	- 615 Triệu,Số tay,,0 Km,Bạc,Xăng	2.0 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Mazda CX5	2.0 Luxury	2020	- 853 Triệu,Số tự động,,"9,000 Km",Đỏ,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Honda CRV	L	2022	- 1 Tỷ 58 Triệu,Số tự động,,0 Km,Đen,Xăng	1.5 L,7 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Mercedes Benz G class	G63 AMG	2021	- 13 Tỷ 500 Triệu,Số tự động,,"8,000 Km",Đen,Xăng	4.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Crossover,Xe	Toyota Innova	2.0E	2015	- 335 Triệu,Số tay,,"90,000 Km",Cát,Xăng	2.0 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Mercedes Benz GLC	200	2020	- 1 Tỷ 939 Triệu,Số tự động,,"20,000 Km",Đen,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Convertible/Cabriolet,Xe	BMW 3 Series	328i Convertible	2007	- 820 Triệu,Số tự động,,"54,000 Km",Trắng,Xăng	3.0 L,5 chỗ,2 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Volvo XC90	Inscription B6 AWD	2022	- 3 Tỷ 950 Triệu,Số tự động,,0 Km,Đen,Xăng	2.0 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Toyota Vios	E 1.5 MT	2022	- 488 Triệu,Số tay,,"2,500 Km",Vàng,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Mercedes Benz GLC	200	2022	- 1 Tỷ 909 Triệu,Số tự động,,50 Km,Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Hyundai SantaFe	Cao cấp 2.2L HTRAC	2022	- 1 Tỷ 340 Triệu,Số tự động,,0 Km,Trắng,Dầu	2.2 L,7 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Mercedes Benz GLC	300 4Matic	2021	- 2 Tỷ 479 Triệu,Số tự động,,"3,000 Km",Đen,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	VinFast Fadil	1.4 AT Plus	2020	- 353 Triệu,Số tự động,,"28,000 Km",Xám,Xăng	1.4 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Truck,Xe	Suzuki Carry	Pro	2022	- 319 Triệu,Số tay,,0 Km,Trắng,Xăng	1.5 L,2 chỗ,2 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Rolls Royce Ghost	Series II EWB	2022	- 40 Tỷ ,Số tự động,,0 Km,Đen,Xăng	6.6 L,4 chỗ,4 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Chevrolet Cruze	LTZ 1.6 AT	2011	- 290 Triệu,Số tự động,,"46,000 Km",Đen,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Kia Cerato	2.0 AT Premium	2019	- 610 Triệu,Số tự động,,"30,000 Km",Đỏ,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Toyota Corolla altis	2.0V Sport	2019	- 740 Triệu,Số tự động,,"20,000 Km",Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Honda CRV	G	2020	- 928 Triệu,Số tự động,,"32,000 Km",Đỏ,Xăng	1.5 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mitsubishi Attrage	1.2 CVT	2022	- 415 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.2 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Mercedes Benz C class	C200 Exclusive	2020	- 1 Tỷ 589 Triệu,Số tự động,,"10,000 Km",Trắng,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Nissan Almera	1.0 MT	2021	- 425 Triệu,Số tay,,0 Km,Trắng,Xăng	1.0 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Honda Civic	1.5L Vtec Turbo	2018	- 725 Triệu,Số tự động,,"50,000 Km",Trắng,Xăng	1.5 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Bán tải / Pickup,Xe	Ford Ranger	Wildtrak 2.0L 4x4 AT	2022	- 937 Triệu,Số tự động,,0 Km,Cam,Dầu	2.0 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Lexus RX	350	2017	- 2 Tỷ 920 Triệu,Số tự động,,"50,000 Km",Cát,Xăng	3.5 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Mazda CX5	2.5 AT 2WD	2018	- 813 Triệu,Số tự động,,"69,741 Km",Trắng,Xăng	2.5 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Crossover,Xe	Hyundai Creta	Đặc biệt 1.5 AT	2022	- 670 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.5 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Nissan Almera	EL 1.0 CVT	2021	- 529 Triệu,Số tự động,,0 Km,Cam,Xăng	1.0 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
Hatchback,Xe	Honda Brio	RS	2022	- 450 Triệu,Số tự động,,0 Km,Cam,Xăng	1.2 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	Mitsubishi Outlander	2.4 CVT Premium	2020	- 945 Triệu,Số tự động,,"20,000 Km",Trắng,Xăng	2.4 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	VinFast Fadil	Tiêu chuẩn 1.4 AT	2022	- 342 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.4 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	BMW X5	xDrive40i xLine	2021	- 4 Tỷ 239 Triệu,Số tự động,,0 Km,Xanh,Xăng	3.0 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Mazda 6	Premium 2.0 AT	2019	- 765 Triệu,Số tự động,,"23,000 Km",Trắng,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Kia Cerato	1.6 AT Luxury	2020	- 628 Triệu,Số tự động,,"30,000 Km",Trắng,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mazda 3	1.5 AT	2018	- 550 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Bán tải / Pickup,Xe	Ford Ranger	XLS 2.2L 4x2 MT	2022	- 630 Triệu,Số tay,,0 Km,Trắng,Dầu	2.2 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Hyundai Elantra	2.0 AT	2019	- 585 Triệu,Số tự động,,"30,000 Km",Vàng,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Crossover,Xe	Kia Carens	SXMT	2011	- 245 Triệu,Số tay,,0 Km,Bạc,Xăng	2.0 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Peugeot 5008	GT 1.6 AT	2022	- 1 Tỷ 320 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.6 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Van/Minivan,Xe	Dongben SRM X30	2021	- 210 Triệu,Số tay,,"35,000 Km",Đỏ,Xăng,2 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Toyota RAV4	2.0 AT	2015	- 999 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Van/Minivan,Xe	Toyota Innova	2019	- 615 Triệu,Số tay,,"50,000 Km",Trắng,Xăng,7 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Crossover,Xe	Kia Seltos	Premium 1.4 AT	2020	- 750 Triệu,Số tự động,,"16,000 Km",Vàng,Xăng	1.4 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Mazda CX5	2.0 AT	2016	- 640 Triệu,Số tự động,,"73,000 Km",Nâu,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Hyundai Elantra	2.0 AT	2019	- 612 Triệu,Số tự động,,"41,000 Km",Đỏ,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Toyota Vios	1.5E CVT	2019	- 450 Triệu,Số tự động,,"52,000 Km",Đen,Xăng	1.5 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Toyota Corolla Cross	1.8V	2020	- 845 Triệu,Số tự động,,0 Km,Xanh,Xăng	1.8 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	LandRover Range Rover	Autobiography LWB 3.0 I6	2021	- 9 Tỷ 550 Triệu,Số tự động,,"8,000 Km",Đen,Xăng	3.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Lexus RX	350 AWD	2014	- 1 Tỷ 790 Triệu,Số tự động,,0 Km,Đen,Xăng	3.5 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Kia Cerato	1.6 AT	2018	- 530 Triệu,Số tự động,,"45,000 Km",Trắng,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Bán tải / Pickup,Xe	Isuzu Dmax	LS 3.0 4x4 AT	2012	- 385 Triệu,Số tự động,,"99,000 Km",Bạc,Dầu	3.0 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Toyota Vios	G 1.5 CVT	2021	- 579 Triệu,Số tự động,,"11,000 Km",Trắng,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Kia Forte	SX 1.6 AT	2012	- 360 Triệu,Số tự động,,"68,140 Km",Đen,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Honda City	L 1.5 AT	2022	- 559 Triệu,Số tự động,,0 Km,Nâu,Xăng	1.5 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Hyundai Avante	1.6 MT	2013	- 305 Triệu,Số tay,,"80,000 Km",Đen,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Ford Everest	Titanium 2.0L 4x4 AT	2021	- 1 Tỷ 289 Triệu,Số tự động,,0 Km,Đen,Dầu	2.0 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
Van/Minivan,Xe	Kia Carnival	GS 2.5 AT	2009	- 245 Triệu,Số tự động,,"100,000 Km",Nâu,Xăng	2.5 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Mitsubishi Xpander	Cross 1.5 AT	2022	- 600 Triệu,Số tự động,,0 Km,Cam,Xăng	1.5 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	Mitsubishi Outlander	Premium 2.0 CVT	2022	- 905 Triệu,Số tự động,,0 Km,Đỏ,Xăng	2.0 L,7 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Kia K3	1.6 MT	2014	- 385 Triệu,Số tay,,"80,000 Km",Đen,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Honda HRV	RS	2022	- 820 Triệu,Số tự động,,0 Km,Trắng,Hybrid,5 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	LandRover Range Rover	Autobiography 5.0	2009	- 1 Tỷ 780 Triệu,Số tự động,,0 Km,Trắng,Xăng	5.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Toyota Camry	2.0G	2021	- 1 Tỷ 30 Triệu,Số tự động,,"12,000 Km",Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Toyota Prado	VX 2.7L	2022	- 2 Tỷ 599 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.7 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	Mitsubishi Xpander	Cross 1.5 AT	2022	- 688 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.5 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	Mercedes Benz GLS	450 4Matic	2022	- 5 Tỷ 139 Triệu,Số tự động,,0 Km,Xanh,Xăng	3.0 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	Isuzu MU-X	3.0 4X2 AT	2016	- 660 Triệu,Số tự động,,"55,000 Km",Đen,Dầu	3.0 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Hyundai Elantra	1.6 AT	2016	- 488 Triệu,Số tự động,,"52,000 Km",Đen,Xăng	1.6 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Hyundai i30	CW 1.6 AT	2009	- 325 Triệu,Số tự động,,"88,000 Km",Xám,Xăng	1.6 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Lexus RX	350 AWD	2011	- 1 Tỷ 180 Triệu,Số tự động,,0 Km,Đen,Xăng	3.5 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Lexus RX	350	2020	- 4 Tỷ 30 Triệu,Số tự động,,"18,000 Km",Trắng,Xăng	3.5 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Hyundai SantaFe	Tiêu chuẩn 2.5L	2021	- 1 Tỷ 30 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.5 L,7 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Crossover,Xe	Hyundai Tucson	1.6 AT Turbo HTRAC Đặc biệt	2022	- 1 Tỷ 20 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.6 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Lexus IS	300 Luxury	2021	- 2 Tỷ 490 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.0 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
SUV,Xe	VinFast Lux SA 2.0	Cao cấp	2022	- 1 Tỷ 271 Triệu,Số tự động,,0 Km,Đỏ,Xăng	2.0 L,7 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Kia Sorento	Signature 2.2 AT AWD	2022	- 1 Tỷ 299 Triệu,Số tự động,,0 Km,Xanh,Dầu	2.2 L,7 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Toyota Corolla altis	2.0V Sport	2019	- 740 Triệu,Số tự động,,"20,000 Km",Đen,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Maserati Quattroporte	3.0 V6	2017	- 5 Tỷ 899 Triệu,Số tự động,,"20,789 Km",Trắng,Xăng	3.0 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Hyundai i10	MT	2016	- 269 Triệu,Số tay,,"65,000 Km",Trắng,Xăng,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mercedes Benz E class	E200 Exclusive	2022	- 2 Tỷ 470 Triệu,Số tự động,,0 Km,Đỏ,Xăng	2.0 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Kia Optima	2.0 AT	2015	- 615 Triệu,Số tự động,,"82,000 Km",Trắng,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Bán tải / Pickup,Xe	Isuzu Dmax	LS 1.9L 4x2 AT	2022	- 730 Triệu,Số tự động,,0 Km,Cam,Dầu	1.9 L,5 chỗ,4 cửa,Xe mới,Nhập khẩu
Crossover,Xe	MG HS	Trophy 1.5 AT 2WD	2022	- 799 Triệu,Số tự động,,0 Km,Đen,Xăng	1.5 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
Sedan,Xe	Hyundai Accent	1.4 AT Đặc Biệt	2022	- 542 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.4 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Bán tải / Pickup,Xe	Ford Ranger	Wildtrak 2.0L 4x4 AT	2022	- 907 Triệu,Số tự động,,0 Km,Trắng,Dầu	2.0 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Mazda 3	1.5L Luxury	2019	- 608 Triệu,Số tự động,,"24,000 Km",Đỏ,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Hyundai i10	Grand 1.2 AT	2020	- 399 Triệu,Số tự động,,"9,000 Km",Bạc,Xăng	1.25 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Toyota Raize	G 1.0 CVT	2022	- 555 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.0 L,5 chỗ,5 cửa,Xe mới,Nhập khẩu
SUV,Xe	Mitsubishi Pajero Sport	G 4x2 AT	2013	- 428 Triệu,Số tự động,,"80,000 Km",Vàng,Xăng	3.0 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Honda City	1.5TOP	2018	- 496 Triệu,Số tự động,,"39,000 Km",Trắng,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Hyundai SantaFe	Tiêu chuẩn 2.2L	2022	- 1 Tỷ 130 Triệu,Số tự động,,0 Km,Đen,Dầu	2.2 L,7 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Crossover,Xe	Kia Seltos	Luxury 1.4 AT	2022	- 704 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.4 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Hyundai SantaFe	2.0L	2012	- 635 Triệu,Số tự động,,"91,000 Km",Nâu,Dầu	2.0 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mazda 6	G	2014	- 500 Triệu,Số tự động,,"90,000 Km",Trắng,Xăng,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	LandRover Range Rover	Autobiography 3.0	2015	- 4 Tỷ 650 Triệu,Số tự động,,0 Km,Trắng,Dầu	3.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Audi Q7	3.0 AT	2014	- 1 Tỷ 299 Triệu,Số tự động,,"80,000 Km",Đồng,Xăng	3.0 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Toyota Veloz	Cross 1.5 CVT	2022	- 648 Triệu,Số tự động,,0 Km,Đỏ,Xăng	1.5 L,7 chỗ,5 cửa,Xe mới,Nhập khẩu
Coupe,Xe	Porsche 718	Cayman 2.0 AT	2020	- 5 Tỷ 150 Triệu,Số tự động,,"5,000 Km",Trắng,Xăng	2.0 L,2 chỗ,2 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Toyota Land Cruiser	4.2 MT	1996	- 400 Triệu,Số tay,,0 Km,Xám,Dầu	4.2 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Mercedes Benz GLC	300 4Matic	2019	- 1 Tỷ 899 Triệu,Số tự động,,"36,000 Km",Trắng,Xăng	2.0 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mazda 3	1.5L Luxury	2019	- 595 Triệu,Số tự động,,"38,965 Km",Đỏ,Xăng	1.5 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Volvo XC90	T6 Inscription	2018	- 3 Tỷ 99 Triệu,Số tự động,,"60,000 Km",Nâu,Xăng	2.0 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	LandRover Range Rover Sport	Autobiography 5.0 V8	2013	- 2 Tỷ 880 Triệu,Số tự động,,"78,000 Km",Đen,Xăng	5.0 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Mazda CX5	2.5 AT	2016	- 675 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.5 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Toyota Yaris	1.3G	2014	- 435 Triệu,Số tự động,,"20,000 Km",Xanh,Xăng	1.3 L,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Toyota Prado	TXL 2.7L	2015	- 1 Tỷ 630 Triệu,Số tự động,,"10,000 Km",Đen,Xăng	2.7 L,7 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Hyundai Accent	1.4 AT	2022	- 508 Triệu,Số tự động,,0 Km,Trắng,Xăng	1.4 L,5 chỗ,4 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz E class	E200 Exclusive	2022	- 2 Tỷ 559 Triệu,Số tự động,,50 Km,Trắng,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Kia Cerato	2.0 AT Premium	2020	- 630 Triệu,Số tự động,,"11,000 Km",Cát,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Mercedes Benz E class	E250	2014	- 938 Triệu,Số tự động,,0 Km,Trắng,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
SUV,Xe	Ford EcoSport	Titanium 1.5L AT	2019	- 565 Triệu,Số tự động,,"17,000 Km",Xám,Xăng	1.5 L,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Sedan,Xe	Chevrolet Cruze	LTZ 1.8L	2017	- 410 Triệu,Số tự động,,"45,000 Km",Đỏ,Xăng	1.8 L,5 chỗ,4 cửa,Xe đã dùng,Lắp ráp trong nước
Crossover,Xe	Toyota Innova	Venturer 2.0 AT	2020	- 858 Triệu,Số tự động,,"9,999 Km",Đỏ,Xăng	2.0 L,8 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Van/Minivan,Xe	Ford Tourneo	Titanium 2.0 AT	2019	- 790 Triệu,Số tự động,,"46,000 Km",Đen,Xăng	2.0 L,7 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Coupe,Xe	Porsche 911	Carrera	2022	- 10 Tỷ ,Số tự động,,"3,000 Km",Vàng,Xăng	3.0 L,4 chỗ,2 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Honda CRV	E	2022	- 998 Triệu,Số tự động,,0 Km,Xanh,Xăng	1.5 L,7 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
SUV,Xe	Honda CRV	G	2022	- 1 Tỷ 48 Triệu,Số tự động,,0 Km,Nâu,Xăng	1.5 L,7 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
Sedan,Xe	BMW 3 Series	320i	2013	- 660 Triệu,Số tự động,,"72,098 Km",Nâu,Xăng	2.0 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
Crossover,Xe	Ford Escape	2.0	2003	- 165 Triệu,Số tay,,"120,000 Km",Đen,Xăng,5 chỗ,5 cửa,Xe đã dùng,Lắp ráp trong nước
Hatchback,Xe	Mini Cooper	S	2015	- 1 Tỷ 80 Triệu,Số tự động,,"35,000 Km",Vàng,Xăng,5 chỗ,5 cửa,Xe đã dùng,Nhập khẩu
Sedan,Xe	Mercedes Benz S class	S500L	2016	- 2 Tỷ 850 Triệu,Số tự động,,"39,000 Km",Đen,Xăng	4.7 L,5 chỗ,4 cửa,Xe đã dùng,Nhập khẩu
SUV,Xe	Mercedes Benz GLC	200 4Matic	2022	- 2 Tỷ 129 Triệu,Số tự động,,0 Km,Đen,Xăng	2.0 L,5 chỗ,5 cửa,Xe mới,Lắp ráp trong nước
