id,domain,url,crawled_date,ten,gia_ban,nam_san_xuat,xuat_xu,tinh_trang,dong_xe,so_km_da_di,mau_ngoai_that,mau_noi_that,so_cua,so_cho_ngoi,nhien_lieu,he_thong_nap_nhien_lieu,hop_so,dan_dong,tieu_thu_nhien_lieu,dung_tich_xi_lanh,thong_tin_mo_ta
12eb13d1-de15-4e94-8fa0-ee025146899a,bonbanh.com,https://bonbanh.com/xe-lexus-rx-350-2018-4427918,1656780786.45102,xe lexus rx 350,3750000000.0,2018,nhập khẩu,cũ,suv,"39,000 km",đen,nâu,5 cửa,5 chỗ,xăng,, tự động,awd,l/100km,3.5 l,Mới quá !!
ef830b99-f97d-4f2e-830e-2085f1656fa3,bonbanh.com,https://bonbanh.com/xe-lexus-rx-350l-2020-4400041,1656780786.483961,xe lexus rx 350l,4390000000.0,2020,nhập khẩu,cũ,suv,"13,000 km",trắng,nâu,5 cửa,7 chỗ,xăng,, tự động,awd,l/100km,3.5 l,Nội ngoại thất giữ gìn
c29e90ce-41ef-4d71-a94d-68e5cf05d582,bonbanh.com,https://bonbanh.com/xe-kia-seltos-premium-1.4-at-2020-4404278,1656780786.570841,xe kia seltos premium 1.4,738000000.0,2020,trong nước,cũ,crossover,"25,000 km",trắng,kem,5 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,1.4 l,Kia Seltos 1.4 AT Premium Sx 2020.
3a3f1744-8bdd-466d-a92d-a91b9be9792b,bonbanh.com,https://bonbanh.com/xe-lexus-rx-350-awd-2011-4416736,1656780786.607972,xe lexus rx 350 awd,1350000000.0,2011,nhập khẩu,cũ,suv,"100,000 km",trắng,xám,5 cửa,5 chỗ,xăng,, tự động,awd,l/100km,3.5 l,Lexus Rx350 Sản xuất 2011
31acfc5e-168e-4109-b535-b8117d264555,bonbanh.com,https://bonbanh.com/xe-toyota-raize-g-1.0-cvt-2022-4055461,1656780786.767946,xe toyota raize g 1.0 cvt,527000000.0,2022,nhập khẩu,mới,suv,0 km,xanh,đen,5 cửa,5 chỗ,xăng,phun xăng điện tử, tự động,fwd,4 l/100km,1.0 l,Toyota Raize siêu phẩm hoàn toàn mới.
31590035-caa0-4b89-bfbc-78437c1da0be,bonbanh.com,https://bonbanh.com/xe-mazda-6-2.0-mt-2005-4370331,1656780786.909692,xe mazda 6 2.0 mt,215000000.0,2005,trong nước,cũ,sedan,"180,000 km",đen,ghi,4 cửa,5 chỗ,xăng,phun xăng điện tử, tay,fwd,7 l/100km,2.0 l,Bán mazda 6 đời 2005 xe thanh lý của cơ quan nhà nước ra đẹp xuất sắc máy gầm đại chất nội thất nỉ nguyên bản điều hoà tự động đăng ký chính chủ giá thương lượng
b2eeee9e-5da0-437b-9946-ce5aaf1d1482,bonbanh.com,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-at-2022-4000095,1656780788.112553,xe ford ranger xls 2.2l 4x2,662000000.0,2022,trong nước,mới,bán tải / pickup,0 km,trắng,ghi,4 cửa,5 chỗ,dầu,, tự động,rfd,7 l/100km,2.2 l,"Ranger Xls AT lắp ráp trong nước, trang bị động cơ TDCI 160 sức ngựa, mạnh mẽ tiết kiệm, trang bị đầy đủ các tính năng an toàn như: phanh ABS, cân bằng điện tử, túi khí an toàn, hệ thống chống lật RUM, hệ thống kiểm soát góc cua Cover Coltrol...."
601ea81c-7ee5-4645-9707-dddbfd3e3ba6,bonbanh.com,https://bonbanh.com/xe-toyota-avanza-premio-1.5-at-2022-4435805,1656780788.582285,xe toyota avanza premio 1.5,588000000.0,2022,nhập khẩu,mới,suv,0 km,bạc,đen,5 cửa,7 chỗ,xăng,phun xăng điện tử, tự động,rfd,6 l/100km,1.5 l,Toyota Avanza Premio với thiết kế mới năng động trẻ trung. Kính cửa sau liền mạch với đuôi xe khá giống các dòng xe sang Lexus.
0d0431d7-6b5c-49ab-b639-0ef2e96b048f,bonbanh.com,https://bonbanh.com/xe-mercedes_benz-c_class-c200-avantgarde-plus-2022-4414489,1656780788.773061,xe mercedes benz c class c200 avantgarde plus,1789000000.0,2022,trong nước,mới,sedan,0 km,đỏ,kem,4 cửa,5 chỗ,xăng,, tự động,rfd,l/100km,1.5 l,"Mercedes-Benz C 200 Avantgarde Plus hoàn toàn mới sở hữu diện mạo sang trọng, trẻ trung, cuốn hút với những đường nét thiết kế đậm chất thẩm mỹ. "
e73fe6a7-de02-4877-94e3-da4da3493e21,bonbanh.com,https://bonbanh.com/xe-isuzu-nqr-4t99-thung-bat-2022-4264160,1656780788.789681,xe isuzu nqr 4t99 thùng bạt,820000000.0,2022,nhập khẩu,mới,truck,0 km,trắng,xám,2 cửa,3 chỗ,dầu,"phun dầu điện tử, turbo tăng áp biến thiên", tay,rfd,13 l/100km,5.2 l,"ISUZU 4.99 tấn, Thùng bạt lọt lòng 6.15m "
