id,url,crawled_date,domain,ten,gia,xuat_xu,tinh_trang,dong_xe,so_cho_ngoi,nhien_lieu,hop_so
5f886b80-a1cb-4f49-8f23-6605c8ed5186,https://xe.chotot.com/mua-ban-oto-huyen-binh-chanh-tp-ho-chi-minh/94488088.htm,2022-06-27 10:09:26.760115,xe.chotot.com,cần bán luxgen U7 bản cao cấp nhận đổi xe khác,335.000.000,Đài Loan,Đã sử dụng,U7,5,Xăng,Tự động
01668af8-69dc-45c1-bf46-816bdf25e9da,https://xe.chotot.com/mua-ban-oto-quan-hai-chau-da-nang/95965359.htm,2022-06-27 10:09:26.803114,xe.chotot.com,Kia Cerato Luxury nhiều Pk Chính hãng cam kết,579.000.000,Việt Nam,Đã sử dụng,Cerato,5,Xăng,Tự động
9ecf8387-3ff4-47f8-887c-3602814357e6,https://xe.chotot.com/mua-ban-oto-huyen-hoai-duc-ha-noi/96150297.htm,2022-06-27 10:09:26.809117,xe.chotot.com,Bán moning 2011 SPORT. số sàn. chính chủ,145.000.000,Việt Nam,Đã sử dụng,Morning,5,Xăng,Số sàn
45155f6e-21fc-4315-88fc-f3c3ce09548b,https://xe.chotot.com/mua-ban-oto-quan-hai-chau-da-nang/96264609.htm,2022-06-27 10:09:26.831115,xe.chotot.com,Bán mazda 3 và 14 xe khác chính hãng cam kết,599.000.000,Việt Nam,Đã sử dụng,3,5,Xăng,Tự động
ad85f7ca-944b-4777-ba2c-96f01b5442fb,https://xe.chotot.com/mua-ban-oto-huyen-phu-rieng-binh-phuoc/96374646.htm,2022-06-27 10:09:28.652971,xe.chotot.com,Kia CD5 xe gia đình cục đẹp,68.000.000,,Đã sử dụng,CD5,,Xăng,Số sàn
c68b1280-1d0f-4402-86a3-3a31911d487a,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/92561159.htm,2022-06-27 10:09:28.830205,xe.chotot.com,MERCEDES E 250 SX 2015 NỘI THẤT KEM XE XUẤT SẮC,1.010.000.000,Việt Nam,Đã sử dụng,E Class,5,Xăng,Tự động
528da005-82f5-4b08-8629-dd4ca256e365,https://xe.chotot.com/mua-ban-oto-quan-nam-tu-liem-ha-noi/94577963.htm,2022-06-27 10:09:28.835204,xe.chotot.com,Chào bán mazd3 sx 2017 sedan phanh tay điện tử,550.000.000,,Đã sử dụng,3,5,Xăng,Tự động
c9fd13bc-1047-43d0-8006-f3feca4cf22d,https://xe.chotot.com/95319235.htm,2022-06-27 10:09:28.873347,xe.chotot.com,Mazda 6 Premium 2.0AT 2020,818.000.000,Việt Nam,Đã sử dụng,6,5,Xăng,Tự động
6024a1f4-6d63-454c-97a7-efa9d1aeef72,https://xe.chotot.com/mua-ban-oto-quan-go-vap-tp-ho-chi-minh/95628336.htm,2022-06-27 10:09:29.045256,xe.chotot.com,HR-V  bản L hàn nhập thái lan,698.000.000,Thái Lan,Đã sử dụng,HR-V,5,Xăng,Tự động
106dea28-aa97-465e-8373-3a65ecbbf17d,https://xe.chotot.com/mua-ban-oto-thanh-pho-bien-hoa-dong-nai/96374357.htm,2022-06-27 10:09:29.223650,xe.chotot.com,fortuner dầu biển sài gòn,1.045.000.000,Việt Nam,Đã sử dụng,Fortuner,7,Dầu,Tự động
9c0bda6e-9563-4f45-a613-bd10cfa11497,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/96346108.htm,2022-06-27 10:09:29.339667,xe.chotot.com,RANGER 2.2MT4x2 XLS sx 2018 đk 9/2019 ZIN 1000%,586.000.000,Thái Lan,Đã sử dụng,Ranger,5,Dầu,Số sàn
d837c480-3c39-4ea9-9ad1-4a9c9a6e0ff1,https://xe.chotot.com/mua-ban-oto-thanh-pho-cao-lanh-dong-thap/96374365.htm,2022-06-27 10:09:29.386660,xe.chotot.com,MG5 sedan hạng C. Nhập thái lan. Giá tốt,579.000.000,,Mới,5,,Xăng,Tự động
7e58095f-50ff-40af-aa0f-4f578a660e04,https://xe.chotot.com/mua-ban-oto-quan-8-tp-ho-chi-minh/95105931.htm,2022-06-27 10:09:29.607599,xe.chotot.com,"Toyota Vios G 2019, Xe Cực Đẹp, Odo 67.000km",508.000.000,Việt Nam,Đã sử dụng,Vios,5,Xăng,Tự động
de3cdb69-47fb-4bde-b78a-c8e754fda89a,https://xe.chotot.com/mua-ban-oto-quan-7-tp-ho-chi-minh/96374602.htm,2022-06-27 10:09:29.760585,xe.chotot.com,Bán Camry 2.5Q mẫu mới nhất.Xe lướt rất đẹp,1.550.000.000,Việt Nam,Đã sử dụng,Camry,5,Xăng,Tự động
d712dd8e-9b09-4785-80d0-a32be9d04b57,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-dau-mot-binh-duong/95791567.htm,2022-06-27 10:09:29.766586,xe.chotot.com,bán nissan navara 2017 tự động,520.000.000,Thái Lan,Đã sử dụng,Pick up,5,Dầu,Tự động
702cebce-3003-4616-b020-2bd514bf46fa,https://xe.chotot.com/mua-ban-oto-quan-thanh-xuan-ha-noi/95925956.htm,2022-06-27 10:09:29.949689,xe.chotot.com,Mercedes_GLE_Coupe_43_AMG_4matic_2019.Cực mới,3.290.000.000,Đức,Đã sử dụng,GLE Class,5,Xăng,Tự động
ed33eff1-3c28-4e8a-840b-e3e5d15a18d5,https://xe.chotot.com/mua-ban-oto-quan-ninh-kieu-can-tho/96346745.htm,2022-06-27 10:09:31.301392,xe.chotot.com,Vios G 2022,589.000.000,Nhật Bản,Đã sử dụng,Vios,5,Xăng,Tự động
15014da3-2c45-4910-9508-11db52725bba,https://xe.chotot.com/mua-ban-oto-quan-binh-tan-tp-ho-chi-minh/92919885.htm,2022-06-27 10:09:31.598161,xe.chotot.com,Bán xe Fiesta 1 đời chủ,290.000.000,Việt Nam,Đã sử dụng,Fiesta,5,Xăng,Số sàn
68ee2751-956c-4add-b30f-7a6b0329ffa9,https://xe.chotot.com/mua-ban-oto-huyen-go-dau-tay-ninh/96190477.htm,2022-06-27 10:09:32.173581,xe.chotot.com,Altis 2020 siêu lướt giá tốt,709.000.000,Việt Nam,Đã sử dụng,Corolla Altis,5,Xăng,Tự động
8d7b44df-7749-487c-8237-e67054ee3060,https://xe.chotot.com/mua-ban-oto-quan-12-tp-ho-chi-minh/95741395.htm,2022-06-27 10:09:32.536784,xe.chotot.com,cần bán xe bán tải số tự động 2016 1 cầu,575.000.000,Thái Lan,Đã sử dụng,Ranger,5,Dầu,Tự động
34db1125-15dc-4516-a8b6-1e8b5a5a740a,https://xe.chotot.com/mua-ban-oto-quan-7-tp-ho-chi-minh/96373461.htm,2022-06-27 10:09:33.035806,xe.chotot.com,Crv L màu đỏ giao xe ngay,1.118.000.000,Việt Nam,Mới,CR V,7,Xăng,Tự động
5068d775-2119-4ed7-b183-928a5ded378f,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/96250819.htm,2022-06-27 10:09:33.040807,xe.chotot.com,KIA CARNIVAL 2022 SANG TRỌNG BẬC NHẤT PHÂN KHÚC,1.199.000.000,Hàn Quốc,Mới,Carnival,7,Xăng,Tự động
92eb9cc4-26a7-496a-b334-a9d6ff4951dd,https://xe.chotot.com/mua-ban-oto-quan-hoang-mai-ha-noi/94629419.htm,2022-06-27 10:09:33.658719,xe.chotot.com,Ranger XLT 2.2 4*4 2020,629.000.000,Thái Lan,Đã sử dụng,Ranger,5,Dầu,Số sàn
643e1251-08c7-4099-b5a9-3f9640d7da2e,https://xe.chotot.com/95790992.htm,2022-06-27 10:09:33.956823,xe.chotot.com,Honda CRV 1.5 AT bản G 2020,928.000.000,Việt Nam,Đã sử dụng,CR V,7,Xăng,Tự động
566225fb-940a-426f-ac25-332ab2557719,https://xe.chotot.com/mua-ban-oto-quan-thanh-xuan-ha-noi/95529921.htm,2022-06-27 10:09:34.004845,xe.chotot.com,"Cần bán xe Innova số tự động, chính chủ đời 2015.",450.000.000,Việt Nam,Đã sử dụng,Innova,8,Xăng,Tự động
94b1d687-98a6-4899-8934-63c728bc5c39,https://xe.chotot.com/mua-ban-oto-thanh-pho-thu-duc-tp-ho-chi-minh/92986077.htm,2022-06-27 10:09:34.258300,xe.chotot.com,Innova 2.0E số sàn 2018 cực đẹp full phụ kiện,580.000.000,Việt Nam,Đã sử dụng,Innova,8,Xăng,Số sàn
