id,domain,url,crawled_date,ten,gia_ban,xuat_xu,tinh_trang,dong_xe,so_km_da_di,mau_ngoai_that,mau_noi_that,so_cua,so_cho_ngoi,nhien_lieu,he_thong_nap_nhien_lieu,hop_so,dan_dong,tieu_thu_nhien_lieu,dung_tich_xi_lanh_
dc0a9607-3b71-4b9c-81ac-e1e92a0e1b2e,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4429730/",2022-06-26 16:25:04.849128,Xe Mazda 3 1.5 AT 2018,585 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,63688 Km,Trắng,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc)
51dfe88b-aff3-4538-bb79-733b1f25c519,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4285843/",2022-06-26 16:25:04.881127,Xe Kia Morning Si AT 2017,328 Triệu,Lắp ráp trong nước,Xe đã dùng,Hatchback,36757 Km,Nâu,Xám,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1248 (cc)
617078b9-9183-4438-a498-59c43348d67f,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4433896/",2022-06-26 16:25:04.924126,Xe Honda City 1.5TOP 2017,488 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,56828 Km,Đỏ,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1497 (cc)
9a174758-5d8b-4f0b-806f-12825128f673,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4416105/",2022-06-26 16:25:04.937124,Xe Kia Cerato 1.6 AT Luxury 2019,599 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,58269 Km,Đen,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1591 (cc)
81be6292-6547-43be-9386-7f288680e7f0,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4411914/",2022-06-26 16:25:04.972124,Xe Mazda 2 Premium 2018,489 Triệu,Nhập khẩu,Xe đã dùng,Sedan,42311 Km,Đỏ,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc)
1a4f9582-6c82-470d-a1c0-81d0b048ee09,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4427728/",2022-06-26 16:25:05.005128,Xe Mazda 3 S 1.6 AT 2014,409 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,68101 Km,Vàng,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1584 (cc)
ed15afba-2df2-4d97-afb2-1257cd00d9b9,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4428029/",2022-06-26 16:25:05.049124,Xe Mazda CX5 2.5 AT AWD 2018,785 Triệu,Lắp ráp trong nước,Xe đã dùng,SUV,46125 Km,Xanh,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,AWD - 4 bánh toàn thời gian, L/100Km,2488 (cc)
2d2e1fef-f7a0-4375-8053-1471f8046845,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4427223/",2022-06-26 16:25:05.084642,Xe Toyota Vios 1.5G 2020,548 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,20711 Km,Đỏ,Kem,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc)
2ad2c3c8-07f8-4f6f-8f5d-52fca56fef03,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4423380/",2022-06-26 16:25:05.093645,Xe VinFast Lux SA 2.0 Plus 2.0 AT 2021,1 Tỷ 96 Triệu,Lắp ráp trong nước,Xe đã dùng,SUV,4927 Km,Trắng,Nâu,5 cửa,7 chỗ,Xăng,,Số tự động,RFD - Dẫn động cầu sau, L/100Km,1997 (cc)
8f27ae8b-588a-483b-9c25-a82b3a7059e7,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4422668/",2022-06-26 16:25:05.128643,Xe Mazda 6 Premium 2.0 AT 2021,796 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,10500 Km,Xanh,Xám,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1998 (cc)
fcd39328-423f-49b7-b711-b1fc17b15ba1,anycar.bonbanh.com,"https://anycar.bonbanh.com/chi-tiet-xe/id,4400469/",2022-06-26 16:25:05.160645,Xe Mazda 3 1.5 AT 2018,589 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,49113 Km,Trắng,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc)
