id,domain,url,crawled_date,anh_xe,ten,gia_ban,nam_san_xuat,xuat_xu,tinh_trang,dong_xe,so_km_da_di,mau_ngoai_that,mau_noi_that,so_cua,so_cho_ngoi,nhien_lieu,he_thong_nap_nhien_lieu,hop_so,dan_dong,tieu_thu_nhien_lieu,dung_tich_xi_lanh,thong_tin_mo_ta
216e24b9-60c4-4a5d-8b46-e11e55b47355,bonbanh.com,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2022-1807581,1656843555.854913,https://bonbanh.com/uploads/users/14173/car/1807581/l_1607058070.jpg,xe ford ranger wildtrak 2.0l 4x4,937000000.0,2022,trong nước,mới,bán tải / pickup,0 km,trắng,đen,4 cửa,5 chỗ,dầu,phun áp lực cao, tự động,4wd,8 l/100km,2.0 l,Ford Ranger Wildtrak 2.0L 4x4 AT
16e31698-7775-4c10-ac80-4669e7efe0c4,bonbanh.com,https://bonbanh.com/xe-ford-ranger-xls-2.2l-4x2-mt-2022-3541215,1656843555.88758,https://bonbanh.com/uploads/users/40831/car/3541215/l_1644834026.jpg,xe ford ranger xls 2.2l 4x2 mt,642000000.0,2022,trong nước,mới,bán tải / pickup,0 km,nâu,đen,4 cửa,5 chỗ,dầu,, tay,rfd,l/100km,2.2 l,Ford Ranger XLS phiên bản mới ra mắt
d3be5485-4df3-49e8-8ae3-fc2dd3096602,bonbanh.com,https://bonbanh.com/xe-kia-sorento-signature-2.5-at-awd-2022-4259622,1656843555.926609,https://bonbanh.com/uploads/users/593528/car/4259622/l_1646274610.938.jpg,xe kia sorento signature 2.5 at awd,1229000000.0,2022,trong nước,mới,suv,0 km,trắng,kem,5 cửa,7 chỗ,xăng,, tự động,awd,9 l/100km,2.5 l,"New Sorento 2022 với thiết kế mạnh mẽ, tinh tế. Trang bị động cơ hoàn toàn mới, tính năng an toàn vượt trội : Hệ thống hỗ trợ phanh ABS,EBD, điều khiển hành trình, cân bằng điện tử, hệ thông quan sát toàn cảnh, hệ thông giữ làn đương, tránh va chạm, điều khiển hành trình thông minh, 6 túi khí,khỏi động từ xa bằng chìa,...."
baf3da59-2f50-4478-8fe9-a2a80be084f6,bonbanh.com,https://bonbanh.com/xe-jeep-wrangler-rubicon-2.0-4x4-at-2021-3900611,1656843555.957845,https://bonbanh.com/uploads/users/563089/car/3900611/l_1625598196.480.jpg,xe jeep wrangler rubicon 2.0 4x4,3688000000.0,2021,nhập khẩu,mới,suv,0 km,xám,đỏ,5 cửa,5 chỗ,xăng,turbo, tự động,4wd,10 l/100km,2.0 l,Jeep chính hãng việt nam.
88f568d5-36a6-4b0d-a4ea-3c83f8b80358,bonbanh.com,https://bonbanh.com/xe-mazda-cx5-premium-2.0-at-2022-4233856,1656843555.985563,https://bonbanh.com/uploads/users/51958/car/4233856/l_1644914980.122.jpg,xe mazda cx5 premium 2.0,912000000.0,2022,trong nước,mới,suv,0 km,trắng,đen,5 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,2.0 l,New Mazda CX5 thế hệ 6.5 công nghệ vượt trội
33a212ec-dd23-4a66-9a78-7315c824d5b6,bonbanh.com,https://bonbanh.com/xe-audi-a4-40-tfsi-advanced-2020-4378586,1656843556.175335,https://bonbanh.com/uploads/users/3697/car/4378586/l_1652329198.779.jpg,xe audi a4 40 tfsi advanced,1690000000.0,2020,nhập khẩu,cũ,sedan,"5,000 km",trắng,đen,4 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,2.0 l,"Bán xe Audi A4 TFSI sản xuất 2019, màu Trắng, xe nhập."
24c2623c-f82a-4be5-b825-fd781f8790ca,bonbanh.com,https://bonbanh.com/xe-mercedes_benz-s_class-s450l-2018-4296695,1656843556.195752,https://bonbanh.com/uploads/users/465614/car/4296695/l_1648106723.777.jpg,xe mercedes benz s class s450l,3480000000.0,2018,trong nước,cũ,sedan,0 km,đen,-,4 cửa,5 chỗ,xăng,, tự động,rfd,l/100km,3.0 l,"Mercedes S450L Sx 2018,đki 2019... Đen,nt kem. Xe đi hơn 2 vạn miles. Đã lên vành Luxury... Option với Camera 360,loa burmester. Ghế massage có sấy,làm mát... Cửa hít,cốp điện. Rèm điện. Nâng hạ gầm..."
9074ca4c-224e-4bb3-98d0-44d569cf46fc,bonbanh.com,https://bonbanh.com/xe-mitsubishi-attrage-1.2-cvt-2021-3287097,1656843556.226479,https://bonbanh.com/uploads/users/113800/car/3287097/l_1592982613.911.jpg,xe mitsubishi attrage 1.2 cvt,460000000.0,2021,nhập khẩu,mới,sedan,0 km,trắng,đen,4 cửa,5 chỗ,xăng,, tự động,fwd,l/100km,1.2 l,Mitsubishi Attrage hoàn toàn mới.
0890db03-45b2-404b-8d9a-af6701bbe4e6,bonbanh.com,https://bonbanh.com/xe-jeep-wrangler-willys-2.0-4x4-at-2021-4114102,1656843556.276328,https://bonbanh.com/uploads/users/563089/car/4114102/l_1638349711.289.jpg,xe jeep wrangler willys 2.0 4x4,3356000000.0,2021,nhập khẩu,mới,suv,0 km,đen,đen,5 cửa,5 chỗ,xăng,, tự động,4wd,9 l/100km,2.0 l,Jeep chính hãng việt nam.
4ec399b6-3bcf-4482-b0ca-899aeb775f1b,bonbanh.com,https://bonbanh.com/xe-jeep-wrangler-rubicon-2.0-4x4-at-2021-4116474,1656843557.82526,https://bonbanh.com/uploads/users/563089/car/4116474/l_1638454808.725.jpg,xe jeep wrangler rubicon 2.0 4x4,3688000000.0,2021,nhập khẩu,mới,suv,0 km,đỏ,đen,5 cửa,5 chỗ,xăng,, tự động,4wd,9 l/100km,2.0 l,Jeep chính hãng việt nam.
